# ZAP Baseline Scan Rules
# Format: <ruleId> <IGNORE|INFO|LOW|MEDIUM|HIGH> [notes]
10010	LOW	(Cookie No HttpOnly Flag)
10011	LOW	(Cookie Without Secure Flag)
10015	INFO	(Incomplete or No Cache-control and Pragma HTTP Response Header Settings)
10016	LOW	(Web Browser XSS Protection Not Enabled)
10017	LOW	(Cross-Site Request Forgery Setting)
10019	INFO	(Content-Type Header Missing)
10020	LOW	(X-Frame-Options Header Scanner)
10021	LOW	(X-Content-Type-Options Header Missing)
10023	MEDIUM	(Information Disclosure - Debug Error Messages)
10024	INFO	(Information Disclosure - Sensitive Informations in HTTP Referrer Header)
10025	INFO	(Information Disclosure - Sensitive Information in URL)
10026	LOW	(HTTP Parameter Override)
10027	INFO	(Information Disclosure - Suspicious Comments)
10032	LOW	(Viewstate)
10037	LOW	(Server Leaks Information via Default Error Notes)
10040	LOW	(Secure Pages Include Mixed Content)
10054	LOW	(Cookie without SameSite attribute)
10055	LOW	(CSP - Content Security Policy Header Not Set)
10056	INFO	(X-Debug-Token Information Leak)
10057	INFO	(X-Direct-Debug-Token Information Leak)
10061	LOW	(X-Content-Type-Options Header Missing)
10062	MEDIUM	(PII Disclosure)
10063	INFO	(Permissions Policy Header Not Set)
10094	MEDIUM	(Generic Padding Oracle)
10096	INFO	(Timestamp Disclosure)
10098	LOW	(Cross-Domain Misconfiguration)
10105	MEDIUM	(Weak Authentication Mechanism)
10108	LOW	(Reverse Tabnabbing)
10109	LOW	(Modern Web Browser Cross-Site Scripting Prevention)
10110	LOW	(Dangerous JS Functions)
10202	LOW	(Absence of Anti-CSRF Tokens)
2	INFO	(Private IP Disclosure)
3	LOW	(Session ID in URL Rewrite)
40012	MEDIUM	(Cross Site Scripting (DOM Based))
40014	LOW	(Anti Clickjacking Header)
50001	INFO	(Script Passive Scan Rules)
6	MEDIUM	(Path Traversal)
7	MEDIUM	(Remote File Inclusion)
90001	LOW	(Insecure JS Library)
90011	MEDIUM	(Application Error Disclosure)
90022	MEDIUM	(Application Error Disclosure)
90033	INFO	(Private IP Disclosure)
